workload_id,workload_class,block_size,status,accepted_tokens,target_passes,target_traversals_per_output_token,reason
coding-001,coding,1,NOT_EXECUTED,,,,representative real-target verification was not completed
coding-001,coding,2,NOT_EXECUTED,,,,representative real-target verification was not completed
coding-001,coding,3,NOT_EXECUTED,,,,representative real-target verification was not completed
coding-001,coding,5,NOT_EXECUTED,,,,representative real-target verification was not completed
coding-001,coding,7,NOT_EXECUTED,,,,representative real-target verification was not completed
math-001,mathematical/reasoning,1,NOT_EXECUTED,,,,representative real-target verification was not completed
math-001,mathematical/reasoning,2,NOT_EXECUTED,,,,representative real-target verification was not completed
math-001,mathematical/reasoning,3,NOT_EXECUTED,,,,representative real-target verification was not completed
math-001,mathematical/reasoning,5,NOT_EXECUTED,,,,representative real-target verification was not completed
math-001,mathematical/reasoning,7,NOT_EXECUTED,,,,representative real-target verification was not completed
chat-001,general chat,1,NOT_EXECUTED,,,,representative real-target verification was not completed
chat-001,general chat,2,NOT_EXECUTED,,,,representative real-target verification was not completed
chat-001,general chat,3,NOT_EXECUTED,,,,representative real-target verification was not completed
chat-001,general chat,5,NOT_EXECUTED,,,,representative real-target verification was not completed
chat-001,general chat,7,NOT_EXECUTED,,,,representative real-target verification was not completed
creative-001,creative/high-entropy,1,NOT_EXECUTED,,,,representative real-target verification was not completed
creative-001,creative/high-entropy,2,NOT_EXECUTED,,,,representative real-target verification was not completed
creative-001,creative/high-entropy,3,NOT_EXECUTED,,,,representative real-target verification was not completed
creative-001,creative/high-entropy,5,NOT_EXECUTED,,,,representative real-target verification was not completed
creative-001,creative/high-entropy,7,NOT_EXECUTED,,,,representative real-target verification was not completed
